repository,fix_sha,parent_sha,pr,named_transitions,eligible_files,content_id,reverse_patch_mode,disposition,d_class
BargLabs/alfred,29be509c289be200b5c0938aef7057a2a75e5132,bed1b1137c9105337ddfe89acff28fa392da76cf,57,Check post-merge dedup:skipped->success; ci-full:skipped->success,apps/web/next.config.ts; apps/web/package.json; packages/alfred-chat/package.json; packages/alfred-chat/tsconfig.json; packages/api/package.json,0c804e1a9ef76983727ff28fca89facb1ec6af39475f28d9a6f3308a48cbd905,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,2bb64fde1080346ee3e87836e6647ba241a2d40b,ac1489076e155aa05f18937079f4769c83f068d0,496,Committed board matches committed corpus:failure->success,packages/witan-cli/package.json; packages/witan-cli/tsup.config.ts,4f4a0a98fb15ac696b4dc05cca6d805aafd4fd0a979b12b80839e64e2bb4f241,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,2cb1dcba48140c2dbb3edc264b439528ce5ec7b4,58d5b0c4d3866ddb8de909d4d3d44965a890f4fc,63,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/edgar-tier-d-cost-monitor.yml,92bd4a3a29309d1a9c8d69407b0795d94506f4c592d06cea67ccbbc7a80bc0e2,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,2e6d6074fa97bad86d2ddc8c915bff853e85d392,2548bc5fb80edc8a70665f78e9a8b80270a5858a,89,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/auto-classify-tier.yml; .github/workflows/automerge-tier-green.yml; .github/workflows/bede-nightly.yml; .github/workflows/ci-fast.yml; .github/workflows/ci-full.yml; .github/workflows/ci-nightly-drift.yml; .github/workflows/ci-post-merge-smoke.yml; .github/workflows/cowork-claude-approved.yml; .github/workflows/edgar-tier-c-deploy-verify.yml; .github/workflows/edgar-tier-d-cost-monitor.yml; .github/workflows/preflight.yml; .github/workflows/production-migrate-and-deploy.yml; apps/cli/tsup.config.ts; package.json,21d62db4c302e7c62e5f10fd832985711437e1ded0d6ff9646957940ac308c04,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,341613ae8275d4c9862d5fb460ec5c232cbeb480,eec4112344c15c57cd5fe5ee684dfd228e0855dd,234,Check post-merge dedup:skipped->success,packages/cross-check/package.json; packages/cross-check/tsconfig.json,de923179f98488ded39cb474d893da2c39ab54ddc6ca4af26d8b794c9076c576,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,3676c1664bca07924416cc1cbbc04742d754d2a7,b5c1137227ff9c4d5f4552c9c31fdba5f3230cd8,74,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/bede-nightly.yml; packages/bede/package.json; packages/bede/tsconfig.json,446f7eef9bb04abe1436eea8b92ce826f471715c875651fea3c3c6d803f1d70e,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,36900f10f7762882c8f027da0eb813bdb9512f02,4ab3756592666bace3ac2258f9542448f549bfff,40,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/agent-runtime/package.json,70334edc0d5725da882c6e88bfeb832a91c39bd40d704048b6287e9fc135de2e,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,39cca379b298a6f20c3a037448148cda460730ee,36235a61c3bec1834486e53fad47c180c84b238c,233,Check post-merge dedup:skipped->success; ci-full:failure->success; Lint:failure->success,packages/witan/deploy/Dockerfile; packages/witan/package.json; packages/witan/tsup.onprem.config.ts,ff720001d3199080e73a7529360e27905941bbbe172fcfe5e334c2e0a725122f,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,43d8fd78a68b47f115cb624328167a246cdf437e,930d2254e680a39ced1ee1ac27152931508f3a7e,34,Check post-merge dedup:skipped->success,packages/mcp-server/package.json,8690f170e7ad165611f9a09be93470fbe4667baa0d7ecbba6418d07386cda252,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,44cf40ae01507b4028bbce9f5e3c84bea095e00f,5634fec89dc47873fd382a329943b02f1c9664ac,185,Check post-merge dedup:skipped->success; ci-full:skipped->success; Orchestrator preflight:failure->success,apps/cli/package.json,6cf9b149f6d6586453fbbf6242991de685bd8ff74bc534f086b6c9c6224d2b5f,three-way,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,4df86f5d7fb73b979612ff483db9fdf060488827,e44454c348a2d9bb80eb6db8b47b48bed69753bf,31,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/edgar-tier-d-cost-monitor.yml; packages/devops-agent/package.json,e1a669c87699e73b38c7606d45e7535ca3c66fce0bf2ffbdc79b8aa4e4ce631c,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,54b6c1c6978b5dac625faa21619902e424cb3ea5,99097865509aabf413519a9cce37ee8cde1fb3b4,47,Check post-merge dedup:skipped->success; ci-full:skipped->success,apps/web/package.json; packages/api/package.json; packages/vertical-auto/package.json; packages/vertical-auto/tsconfig.json,fdf4b1ff21d04e4cb2d3babdc0f2bbdc372730db793e01fac43929f728dfab8b,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,583406465c4497d4f8c3d53faa244eef69bb791b,005cde72d43c913bb48a458e8bcb016ed8fe414f,507,Committed board matches committed corpus:failure->success,packages/witan-cli/package.json; packages/witan/package.json,d700ac384c8d1f755b88c525877dc56a3f286cb4ea1290001a7d12bd46edcafe,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,58d5b0c4d3866ddb8de909d4d3d44965a890f4fc,6aace25671f96fc673c026dc762e9a799a9d4fd4,62,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/edgar-tier-d-cost-monitor.yml,632f457b41a9297b581b3fddceace8fbeb74c51a72aaf9ecda08f4db896cae95,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,5978eeddafb247b8f81238331fd8ae1adb55fc30,c51e04deefd1eb8af5fd9f0cdc5711e1007b50ce,152,Check post-merge dedup:skipped->success; ci-full:skipped->success,apps/web/vitest.config.ts,72ef33247bb497d0fa01cbe6ca371128a8dc25936554f9ace53ae0765d7a631e,direct,B1,Outside D1-D8
BargLabs/alfred,60598ea45d444be7aa065a442c8dbc1151ee10ff,c372117fdff48a509e9a0c21f009788bfab2af0f,93,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/api/package.json,e454665ef9f634a9a8708c8eaf71efa7b724145fa789e26f477c3e3321ce1e51,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,63322529a7154d39be522c2c226994ecbf4decfd,6de79ac36a3e6a085b7f5ccf21c1beb12ebca9f2,480,Committed board matches committed corpus:cancelled->success; min-score gate fails the step when unmet:cancelled->success; Score this repo with Witan:cancelled->success,packages/witan-cli/package.json,69cacdd7e56ea6dc1621e1f3b1d7622670d6fdc868ff11bb8ba7324f59a3e346,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,6359211180fbcacfd72ffbce248f75c73ac82f18,ee0b47304eeb4d868c3478d21d1f0115529f63f8,710,Committed board matches committed corpus:failure->success,packages/witan-cli/package.json,d2d883db26a3342241c510515666450df4ce3811004f3dcfeae076cc23f52e39,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,66f7b087fb8047ac4ded1a490473fcf067c0c151,e33716f77cc308c4d6d6a0a840a5c8c88a5d292b,77,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/standup/package.json; packages/standup/tsconfig.json,b4cc4a2338aa0ef50bda9b63c90543ed3163dcea5da8afafbf9d7d3faaf7af41,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,68b9c885e860cef74ac6db4866582529c6a450c7,a451d2759ed66510be3224a934052890a0693b3f,134,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/api/package.json,aa7cff6ba2effe9703f54c5378170a02509a8134eb74d93ad533d698176ad19b,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,6beae0d63b9d692ab55d66878926846b0be0ab9b,24239ca074507f41a3a5f781d3024e0e7af67c34,112,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/integrations/gmail/package.json,9bb580cc99c617012778fb691e369a734f5ff14b6e564cd859ab2fbac45bf72f,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,6ec171e4b48c53679433652426fd7aeee13be9bf,a82fd450d9b88269b0610b15e8db56eddc20a877,42,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/rivian-discovery-kit/package.json; packages/rivian-discovery-kit/tsconfig.json,f8a83854732138456d2e0ea19243c18ab541f68167da9e95712640c55e9bbe71,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,719cea89395e0225ae422733cf852dbf1e1cedf6,d19f26a81bef0983059d9cf7a4208c57d17a2d1f,195,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/maeve-dev-task-outcome.yml; .github/workflows/maeve-seed-session-lessons.yml,8c47a17274e1f013ca4c3d74d05d5e356b26de28b0dd4cccf6aa6a7914bf93a8,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,72eaaae396d0b0e6e32549ac80075558605f003c,68712df31f764edc405fc99617f51a2ac8e30350,103,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/maeve-live-proof.yml,0f96c73bb4c5a6e9085f56b1529c5d26290f80799015d9f3ef0097bc283c4bee,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,749aadc0ffed755bbbe7f209f72ea76c17f9cc88,8af7131a490ddd8a2f2fd83ab29e1550223672f0,115,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/maeve-dev-task-outcome.yml; packages/api/package.json,7ceb20dd029d68e3c3c2e711a521079fa91f3eb0259597c334ae103b598d873a,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,7722553e114699fc62f26d51cd0ec952df0af0c0,5bbb21ea7cd9ee70ad3d0ef10b0d846a39679da5,526,Committed board matches committed corpus:failure->success,packages/witan-cli/package.json; packages/witan-cli/tsup.config.ts; packages/witan-cli/tsup.public-sea.config.ts,0c86ddbd3945efcddad0c7b85265f1a4ca9e66155099990b0caa157807569882,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,7f1b2cfae0abd3554b685f583767ab04ea03ca8d,ad25ed9a0d1071201810aac3bb99e6617cbc5767,87,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/production-migrate-and-deploy.yml; packages/api/package.json,cc3422b1e74ab103e496b819dbcc6b57fdcd3540b40b928371967f61ee224e54,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,818ebbf1e67980510c1a856fe7be333b41e98b5b,a46dc0009e13dc6a1495fb722e990d9a3da6747c,,ci-post-merge-smoke:cancelled->success; tier-c-deploy-verify:skipped->success,.github/workflows/aelfric-central-site-sync.yml,a195cd82af34ca42554f81b86135366dabc97bc72c1a736184c9163b9eff4a07,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,86b8325927ebc826a65d7a2ba9ebfbe1efde8f69,730945e1f61a9472035ad5eb29cdaa69d9864bf7,131,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/api/package.json,facd4b64e7d17bf51487a09831e25dfd118126dc2dad502b5fb4ea7aba3c95eb,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,87a81339e3c83ee473d91d703734923f9890067c,03d8525ba0af18c94560a331d336010e3dee125f,187,Check post-merge dedup:skipped->success,.github/workflows/cowork-claude-approved-prompt.md,194733fb34247c887fa587ee1139b3976c86b6fc752b062af5cfc6e7dc9fbc46,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,89c2211ee2b81e699f160e0928485b07c0da8581,40e39423858cb068acb239d744d835507732be04,524,Committed board matches committed corpus:failure->success,packages/witan-cli/package.json,1fc9d6c17831f33f15ba7e5f07353f3869676607162b18f2e879fec4a743cedd,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,8a10a48ec895e7780ca6be9a5cf6b571c888cf83,a97e341b21de664e7bd18c0d60019a186baf0d64,32,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/edgar-tier-c-deploy-verify.yml,b9d09ab907b33b2a12656a73e60da4473c9a25ed0180d3db2d5e95cd18a2d36f,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,8e00f9ad8a09e206493f1a1c6fb92d3bf01be31f,f05535230bab0b1ffd36bdd8efbd5e9c66195ad3,723,Committed board matches committed corpus:failure->success,.github/workflows/release-binaries.yml; packages/witan-cli/distribution/Dockerfile.template; packages/witan-cli/package.json,8fb43f5c9af0618c300ef6a2123b9e3fc62fbaefb05c4ec6cbc5be2f23ad92e0,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,8ecd1197ea1c7a252022a1de2d43d8d69b32647d,7d6858bd6fef13f2c46a08f561527e61cd620f48,21,Orchestrator preflight:failure->success,.github/workflows/preflight.yml,c83e2796dc10dd4143e14acda054cbcea55df2526dc0036468e345e90f878a97,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,958a3b5e9f6a1e8cba794c91eef4c0bf914f01c0,dc548f333fd591470b80cf266fbbde802f646d96,127,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/gmail-triage-smoke.yml,26048a5396b2efc2777010dc8305775b33ac38513c494df7a5519c36cb3f7ed2,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,998b1ef63c1f774a5815e0845937f79fc0879ad8,86b8325927ebc826a65d7a2ba9ebfbe1efde8f69,132,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/api/package.json,3109aca67408f66c43c62c5851f537cb1b89aa58f7a6d9ccb319e2a1e9866fc1,three-way,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,9e03350416a73f9f44b453b7f0cd362c34636ff7,60598ea45d444be7aa065a442c8dbc1151ee10ff,94,Check post-merge dedup:skipped->success; ci-full:skipped->success,apps/web/package.json; packages/api/package.json,3359ff5e1da67c65c5dd875dc1b81fb031250f3d52ee024b50a8f36135a8a822,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,9fec543bc78a123be14cfcfbe50d365048e31605,97e4749f2ea3573342ad39626418cfcef9878b87,105,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/maeve-live-proof.yml,ea1ecddbf55ef7fdd8d6372605acc49c00e0395d0f552e9eff4006f94bd01f25,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,a2e33523ddca31a0857f5ddc2b6a92fbf1b0a2f7,29be509c289be200b5c0938aef7057a2a75e5132,58,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/ci-fast.yml; .github/workflows/ci-full.yml; .github/workflows/ci-nightly-drift.yml; .github/workflows/ci-post-merge-smoke.yml; .github/workflows/cowork-claude-approved.yml; .github/workflows/edgar-tier-c-deploy-verify.yml; .github/workflows/edgar-tier-d-cost-monitor.yml; .github/workflows/preflight.yml,6b4eff89327e3572e7ab764a0677bcb4e7080a5729ec46bd05f9667d4408cb62,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,a80e85e4a282da374f64c0b3592b44320e8b7187,f794d427697404dfc3c06de533bae93067e16ad9,584,Committed board matches committed corpus:failure->success,.github/workflows/maeve-lesson-sync.yml; packages/api/package.json,572d838f8d0d09fb2635cd546f4cfb42d9eafa99333a2e71db767150a7f272b5,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,a8d7c95d32d2611556dc39305afb3d2d8c85779c,6ec171e4b48c53679433652426fd7aeee13be9bf,43,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/api/package.json,87536a9c3fec4c640ffaf89e3dfdae12da4bf8f7340fe8fcee12d60fd9058f1a,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,ae7f4ad5518b1f8270f45d07a8852e047ae0cc57,6cd4078560fbe86f61916a88d03f228d66c174d2,171,Check post-merge dedup:skipped->success,packages/api/package.json,4035219d28d92c6fac48b127528d88aa2ffbc1aee09f1658a8d10656d3280f1c,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,b5c1137227ff9c4d5f4552c9c31fdba5f3230cd8,bada89f873e60842f469837c7d4439487820b4b1,73,Check post-merge dedup:skipped->success,packages/state-refresh/package.json; packages/state-refresh/tsconfig.json,8204921214bbca7292e0519fc07127aa61efa9ec9ac13adc94e6c37dce3e7ef0,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,b61702fe64a0b4df2c4ac87334857f0f8d323ecf,9dd989757da96e9e384204a175f6ddd505f37fba,110,Check post-merge dedup:skipped->success; ci-full:skipped->success,package.json,ef72dd182c7ea651893c54be27d866a817be0d1c437c4eac1fbb748712cba9df,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,b82656fd727f6f45aeafe2a47f95e44a3a54033c,751c7e75832731fcebc8adb9b42566849ce62a1f,82,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/standup/package.json,0d7df1b4b096919a477a9b4c3c11c5aec9943a9495541c42723284bf3c08f582,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,bada89f873e60842f469837c7d4439487820b4b1,87a7359599d1581f1324cc4f8ee2babfd1e6cb24,72,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/api/package.json; packages/integrations/n8n/package.json; packages/integrations/n8n/tsconfig.json,129430882d308581e3f6a332c8496db8d068cf05fb396f9b39c39c6e9d642535,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,bbf91aab161b0b3f4e31b15f5b799a03815884ec,f1450e5507f3df8e2aff8611f69c7d460a9db7fc,61,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/edgar-tier-c-deploy-verify.yml,122a113e415f786036ae5a5ac25b2533231cc6dfe0b7793c815016036af0da11,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,bd7fb4bbe7df4f83dc3478ef52e44ce15ba2b1bd,ae39af83c305e788b4eb807be073163d55facddb,76,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/api/package.json,ca39adea84575082d261af324db6b9920ded0654a3d09e1c39615db8d4ff4c84,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,bf53ee8ad45a3e0e17f41c93950e4d678fe304f4,dc126a3b84a58e503ae9a14fc19daed0b2e21b87,266,Build + run SEA binary:failure->success,.github/workflows/witan-onprem-sea-smoke.yml,0bff02eeeed5b22343033e5fe899c5e7adaddfd81b61fb0b1b21962691da2a9b,direct,excluded: reverse stayed green,
BargLabs/alfred,c317f26a2369e87da2a3feab76b8e8e7f62370d3,b21e67320bdef9d91ccf85c7a3633d3a70a3fed9,501,Committed board matches committed corpus:cancelled->success,packages/witan/package.json,e1a9c4ee414b05313a52f76fad42007713cf69f0a248cdea80c673df52b4ed76,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,cae732ea8d398bcbc692cd960d001e0ffd38fb86,1f143f2b8d3467f58bb6ef9a36d774fe40e57fe9,333,Build + run SEA binary:failure->success; Score this repo with Witan:failure->success,.github/workflows/witan-onprem-sea-smoke.yml; .github/workflows/witan-trust-check.yml; packages/witan-cli/package.json,9096658f192a39c86655c0667fc62f42b8433ae11c098a691085107f17788a08,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,caeb89154d4629bbc55ba8a64956da560b1622a4,2e6d6074fa97bad86d2ddc8c915bff853e85d392,90,Check post-merge dedup:skipped->success; ci-full:skipped->success,apps/web/vercel.json; packages/api/package.json,a1140897e3277d99ddee8dc11e3529f3fc27ee0e84df6746ebbc59a3d78b8d24,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,ce97d295e05c74c4f452bc279401ea195fff2224,13f6ac64b52a35b94c81b039e4c7ac49a43cf4eb,741,Committed board matches committed corpus:failure->success,packages/witan-cli/package.json,d5e8fc85fa3596d0893668c27425673aa0c55b05f0f5036eef675fb5be7a32a0,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,d15f96905b7e6057eb8a7df045634220bb626331,c79e813dac62e2930f8833e41c7f9bc629c7c21d,125,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/gmail-triage-smoke.yml,b2ed45d749146aacdf1ce2f4c65d1cc3a9fc93011e1c40d63b83aafaefa50e60,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,d4d3ded0be6aac454583f10d8f8ae1dba8249897,0033b73eac4a9a9febb351f00ba0d078db3cacc4,169,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/api/package.json,c4148b3c321de4828a96548a7337c3ed88a193ac76498f4a29aa48d08af9055c,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,dc548f333fd591470b80cf266fbbde802f646d96,d15f96905b7e6057eb8a7df045634220bb626331,126,Check post-merge dedup:skipped->success; ci-full:skipped->success,.github/workflows/gmail-triage-smoke.yml,82aafadf34b90537e077a70a807a6d40ba9b50d0308cee76923e03a425ccb81a,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,e01a8a997267f55bcb2577a7c7572e4c3f64fe19,1c3c4d35f9e85fa446af30c083fcefb27e2e1b2b,146,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/api/package.json,769ce34452ea83e2ce8d49cc36c95eae252886ba0ff86bd119cba00840d2b720,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,e0d056d4489d24312dc7e99cffc78c5f2d1d907d,2403443ff2ce9d4515f8209ea9c49426fbf39bbd,570,Committed board matches committed corpus:cancelled->success,packages/witan/package.json,39dc7f7e6648e4837732935cb3b6f33df467b8ec7cbc822cee818f712afb5c9f,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,e33716f77cc308c4d6d6a0a840a5c8c88a5d292b,bd7fb4bbe7df4f83dc3478ef52e44ce15ba2b1bd,75,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/product-template-registry/package.json; packages/product-template-registry/tsconfig.json,097b0b8af188b922b5fffe90b4ea33db701096e94e2e6ab875b9d6f0ce66e751,direct,excluded: patch review found no causal defect for the named transition,
BargLabs/alfred,e44454c348a2d9bb80eb6db8b47b48bed69753bf,b43a106eb2570fb86851bb41aae3008a07767ce0,29,Check post-merge dedup:skipped->success,packages/devops-agent/package.json; packages/devops-agent/tsconfig.json,d6bcc9674d0d669af53c5e3098e981d6b011e6c0a2339e93fe3363be878d7c6a,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,e62f355d0534a7974f0c0a2b7c3e88dcf95561ba,b235aad0cbae86c47916b51a5a822296117831aa,99,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/api/package.json,05afafdbc07c882583f786ae161ad6fcd295ad67877815e15edaeac294505a31,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,e7659648864f540869cbe3f902b508de94e81d79,a8d7c95d32d2611556dc39305afb3d2d8c85779c,46,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/api/package.json,c851a65fd85064383805462915e2d3829a8180c3959a2ab1d10377465bad8422,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,ea31a75631c2c7c43db8b49228ffb398375e301f,db189c9a0ad16fdd5faf7258388aa28d5c1dcaf7,51,Check post-merge dedup:skipped->success; ci-full:skipped->success,packages/devops-agent/package.json; packages/edgar/package.json; packages/edgar/tsconfig.json,aceb3f7d666cfa842042733c5ee0d1b585bd25ba15cc8589accd1977f61f1f3d,conflict,excluded: patch conflict at frozen tip,
BargLabs/alfred,ebc38f70538e61d3af7f7e25229a2bfbe1f8dc4e,54b6c1c6978b5dac625faa21619902e424cb3ea5,44,Check post-merge dedup:skipped->success; ci-full:skipped->success,apps/web/package.json; packages/api/package.json; packages/vertical-health/package.json; packages/vertical-health/tsconfig.json,e3e25566667200bd1ca4e48a0c574ba7f805d7b931bbb3d680358b09ee9255f6,conflict,excluded: patch conflict at frozen tip,
